QUA,QUA_val,BLU,RED,NIR,SWR,BLU_1,RED_1,NIR_1,SWR_1,BLU_2,RED_2,NIR_2,SWR_2,BLU_3,RED_3,NIR_3,SWR_3,BLU_4,RED_4,NIR_4,SWR_4,Satellite_Date,Location,Altitude
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-12,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-13,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-14,Malic,850
False,123.0000,1.0675,0.5680,0.6295,0.3040,1.0675,0.5715,0.6305,0.3080,1.0675,0.5765,0.6385,0.3045,1.0670,0.5570,0.6210,0.2995,1.0675,0.5555,0.6165,0.3030,2014-03-15,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-16,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-18,Malic,850
False,248.0000,0.0305,0.0465,0.1350,0.1730,0.0325,0.0585,0.1720,0.1650,0.0390,0.0620,0.1590,0.1765,0.0330,0.0450,0.1520,0.1780,0.0265,0.0445,0.1315,0.1650,2014-03-19,Malic,850
True,248.0000,0.0285,0.0585,0.1675,0.1965,0.0275,0.0530,0.1815,0.1865,0.0310,0.0660,0.1950,0.1985,0.0265,0.0460,0.1590,0.2090,0.0285,0.0580,0.1735,0.1920,2014-03-20,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-21,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-22,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-23,Malic,850
False,251.0000,0.5275,0.6300,0.6875,0.3800,0.5315,0.6325,0.6905,0.3790,0.5290,0.6355,0.6920,0.3775,0.6040,0.6290,0.6890,0.3820,0.4725,0.6255,0.6860,0.3810,2014-03-24,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-25,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-27,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-28,Malic,850
True,248.0000,0.0380,0.0470,0.1520,0.1980,0.0350,0.0565,0.1885,0.1870,0.0375,0.0555,0.1740,0.2035,0.0445,0.0590,0.1945,0.2195,0.0405,0.0570,0.1675,0.1925,2014-03-29,Malic,850
False,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2014-03-30,Malic,850
